heading_id,page,level,ordinal,heading_slug,text,reconstituted,anchored,absorbed,toc_role
p98-a-interfacing-with-consciousness-models,98,4,104,p98-a-interfacing-with-consciousness-models,"a. Interfacing with Consciousness Models (Hoffman, Friston)",0,1,,structural
p98-b-physics-inference-via-machine-learning,98,4,105,p98-b-physics-inference-via-machine-learning,b. Physics Inference via Machine Learning on Rule Spaces,0,1,,structural
p99-c-wolfram-language-as-an-interface-for-m,99,4,106,p99-c-wolfram-language-as-an-interface-for-m,c. Wolfram Language as an Interface for Morphogenetic Simulation,0,1,,structural
p99-d-embedding-theological-structures-in-ru,99,4,107,p99-d-embedding-theological-structures-in-ru,d. Embedding Theological Structures in Rule Spaces,0,1,,structural
p99-summary-table-stephen-wolfram,99,3,108,p99-summary-table-stephen-wolfram,Summary Table (Stephen Wolfram),0,1,,structural
p101-reflecting-on-the-turn-from-synthesis-to,101,2,109,p101-reflecting-on-the-turn-from-synthesis-to,Reflecting on the Turn: From Synthesis to Truth-Seeking,0,1,,structural
p102-next-steps-as-i-understand-them,102,2,110,p102-next-steps-as-i-understand-them,Next Steps (as I understand them),0,1,,structural
p104-god-s-knowledge-as-the-cause-of-things-i,104,1,111,p104-god-s-knowledge-as-the-cause-of-things-i,God’s Knowledge as the Cause of Things in Aquinas’s De Veritate,1,1,p104-de-veritate,structural
p104-de-veritate-question-2-article-14-the-so,104,2,113,p104-de-veritate-question-2-article-14-the-so,"De Veritate, Question 2, Article 14 – The Source",0,1,,structural
p106-theological-and-metaphysical-context,106,2,114,p106-theological-and-metaphysical-context,Theological and Metaphysical Context,0,1,,structural
p109-i-from-designated-matter-to-designated,109,2,115,p109-i-from-designated-matter-to-designated,I. FROM DESIGNATED MATTER TO DESIGNATED,0,1,,structural
p109-perspective,109,2,116,p109-perspective,PERSPECTIVE,0,1,,structural
p109-ii-mind-to-mind-correspondence-as-the-gr,109,2,117,p109-ii-mind-to-mind-correspondence-as-the-gr,II. MIND-TO-MIND CORRESPONDENCE AS THE GROUND OF TRUTH,1,1,p109-truth,structural
p110-iii-synergy-planks-as-structural-element,110,2,119,p110-iii-synergy-planks-as-structural-element,III. “Synergy Planks” as Structural Elements of Interdisciplinary Coherence,1,1,p110-interdisciplinary-coherence,structural
p111-iv-stability-openness-and-christic-parti,111,2,121,p111-iv-stability-openness-and-christic-parti,"IV. Stability, Openness, and Christic Participation",0,1,,structural
p111-in-summary,111,2,122,p111-in-summary,In Summary,0,1,,structural
p112-synergy-plank-discovery-tool-prototype-s,112,3,123,p112-synergy-plank-discovery-tool-prototype-s,Synergy Plank Discovery Tool (Prototype Structure),0,1,,structural
p112-1-definition-of-a-synergy-plank,112,4,124,p112-1-definition-of-a-synergy-plank,1. Definition of a Synergy Plank,0,1,,structural
p112-2-key-features-of-a-synergy-plank,112,4,125,p112-2-key-features-of-a-synergy-plank,2. Key Features of a Synergy Plank,0,1,,structural
p113-3-categories-of-candidate-planks,113,4,126,p113-3-categories-of-candidate-planks,3. Categories of Candidate Planks,0,1,,structural
p114-4-5-step-discovery-and-deployment-proces,114,4,127,p114-4-5-step-discovery-and-deployment-proces,4. 5-Step Discovery and Deployment Process,0,1,,structural
p114-5-output-format-for-documenting-a-synerg,114,4,128,p114-5-output-format-for-documenting-a-synerg,5. Output Format for Documenting a Synergy Plank,0,1,,structural
p115-refined-definition-of-a-synergistic-plan,115,3,129,p115-refined-definition-of-a-synergistic-plan,Refined Definition of a Synergistic Plank (SP),0,1,,structural
p116-benefits-of-this-revision,116,3,130,p116-benefits-of-this-revision,Benefits of This Revision,0,1,,structural
p116-step-1-structured-entry-template-for-syn,116,2,131,p116-step-1-structured-entry-template-for-syn,Step 1: Structured Entry Template for Synergistic Planks,0,1,,structural
p117-synergistic-plank-entry-template,117,3,132,p117-synergistic-plank-entry-template,Synergistic Plank Entry Template,0,1,,structural
p118-step-2-example-synergistic-plank-designa,118,2,133,p118-step-2-example-synergistic-plank-designa,Step 2: Example Synergistic Plank – “Designated Perspective”,0,1,,structural
p120-visualization-overview,120,3,134,p120-visualization-overview,Visualization Overview,0,1,,structural
p122-summary-of-progress-and-strategic-positi,122,2,135,p122-summary-of-progress-and-strategic-positi,Summary of Progress and Strategic Positioning,0,1,,structural
p122-i-where-we-ve-been,122,3,136,p122-i-where-we-ve-been,I. Where We’ve Been,0,1,,structural
p122-a-multiscale-integrative-framework,122,4,137,p122-a-multiscale-integrative-framework,A Multiscale Integrative Framework,0,1,,structural
p122-the-christic-morphogenesis-proposal,122,4,138,p122-the-christic-morphogenesis-proposal,The Christic Morphogenesis Proposal,0,1,,structural
p123-a-philosophical-turn-truth-realism-and-i,123,4,139,p123-a-philosophical-turn-truth-realism-and-i,"A Philosophical Turn: Truth, Realism, and Inquiry",0,1,,structural
p123-synergistic-planks-as-methodological-inn,123,4,140,p123-synergistic-planks-as-methodological-inn,Synergistic Planks as Methodological Innovation,0,1,,structural
p123-ii-what-we-ve-accomplished,123,3,141,p123-ii-what-we-ve-accomplished,II. What We’ve Accomplished,0,1,,structural
p124-iii-what-s-next-and-why,124,3,142,p124-iii-what-s-next-and-why,III. What’s Next and Why,0,1,,structural
p124-1-macintyre-and-tradition-based-rational,124,4,143,p124-1-macintyre-and-tradition-based-rational,1. MacIntyre and Tradition-Based Rationality,0,1,,structural
p124-2-ai-augmented-dialogue-across-tradition,124,4,144,p124-2-ai-augmented-dialogue-across-tradition,2. AI-Augmented Dialogue Across Traditions,0,1,,structural
p124-3-normative-frameworks,124,4,145,p124-3-normative-frameworks,3. Normative Frameworks,0,1,,structural
p124-4-operational-scaling,124,4,146,p124-4-operational-scaling,4. Operational Scaling,0,1,,structural
p124-iv-why-this-matters,124,3,147,p124-iv-why-this-matters,IV. Why This Matters,0,1,,structural
p125-1-a-co-constitutional-dialogue,125,2,148,p125-1-a-co-constitutional-dialogue,1. A Co-Constitutional Dialogue,0,1,,structural
p126-2-stored-intelligence-vs-generated-intel,126,2,149,p126-2-stored-intelligence-vs-generated-intel,2. Stored Intelligence vs. Generated Intelligence,0,1,,structural
p127-3-the-emergence-of-cyber-human-intellige,127,2,150,p127-3-the-emergence-of-cyber-human-intellige,3. The Emergence of Cyber-Human Intelligence,0,1,,structural
p127-4-toward-a-tradition-of-inquiry,127,2,151,p127-4-toward-a-tradition-of-inquiry,4. Toward a Tradition of Inquiry,0,1,,structural
p130-1-traditions-as-social-information-proce,130,2,152,p130-1-traditions-as-social-information-proce,1. Traditions as Social Information Processors,0,1,,structural
p130-2-the-current-epistemic-dystopia,130,2,153,p130-2-the-current-epistemic-dystopia,2. The Current Epistemic Dystopia,0,1,,structural
p131-3-traditions-and-the-recovery-of-rationa,131,2,154,p131-3-traditions-and-the-recovery-of-rationa,3. Traditions and the Recovery of Rationality,0,1,,structural
p131-4-second-first-language-exchange-and-the,131,2,155,p131-4-second-first-language-exchange-and-the,4. Second-First-Language Exchange and the Discovery of Attractors,1,1,p131-attractors,structural
p132-summary-reflection,132,2,157,p132-summary-reflection,Summary Reflection,0,1,,structural
p135-summary-of-toward-a-computational-natura,135,2,158,p135-summary-of-toward-a-computational-natura,"Summary of ""Toward a Computational Natural Law""",0,1,,structural
p135-key-contributions,135,3,159,p135-key-contributions,Key Contributions:,0,1,,structural
p135-relation-to-tradition-interaction-and-ac,135,2,160,p135-relation-to-tradition-interaction-and-ac,Relation to Tradition Interaction and Accelerator-Detector Framework,1,1,p135-framework,structural
p136-next-steps,136,2,162,p136-next-steps,Next Steps,0,1,,structural
p139-would-i-welcome-help,139,3,163,p139-would-i-welcome-help,Would I welcome help?,0,1,,structural
p140-document-1-four-models-of-cultural-excha,140,2,164,p140-document-1-four-models-of-cultural-excha,Document 1: “Four Models of Cultural Exchange” (ISME 2022 Draft),1,1,p140-draft,structural
p140-core-thesis,140,3,166,p140-core-thesis,Core Thesis:,0,1,,structural
p140-four-models,140,3,167,p140-four-models,Four Models:,0,1,,structural
p141-key-innovations,141,3,168,p141-key-innovations,Key Innovations:,0,1,,structural
p141-document-2-toward-a-computational-natura,141,2,169,p141-document-2-toward-a-computational-natura,Document 2: “Toward a Computational Natural Law Defense of the Sanctity of Human Life”,1,1,p141-the-sanctity-of-human-life,structural
p141-core-thesis,141,3,171,p141-core-thesis,Core Thesis:,0,1,,structural
p141-structure-of-the-argument,141,3,172,p141-structure-of-the-argument,Structure of the Argument:,0,1,,structural
p142-key-contributions,142,3,173,p142-key-contributions,Key Contributions:,0,1,,structural
p142-next-step,142,2,174,p142-next-step,Next Step,0,1,,structural
p145-reflection-and-confirmation-of-your-refr,145,2,175,p145-reflection-and-confirmation-of-your-refr,Reflection and Confirmation of Your Reframing,0,1,,structural
p145-1-the-penultimate-frame-community-morpho,145,3,176,p145-1-the-penultimate-frame-community-morpho,1. The Penultimate Frame: Community Morphogenesis,0,1,,structural
p146-2-the-concise-frame-attraction-toward-de,146,3,177,p146-2-the-concise-frame-attraction-toward-de,2. The Concise Frame: Attraction Toward Deeper Communities through Rival Dialogue,1,1,p146-rival-dialogue,structural
p146-3-the-metaphors-of-game-and-team,146,3,179,p146-3-the-metaphors-of-game-and-team,3. The Metaphors of Game and Team,0,1,,structural
p148-amendment-1-game-and-team-metaphor-is-a,148,2,180,p148-amendment-1-game-and-team-metaphor-is-a,"Amendment 1: Game and Team Metaphor Is a Zooming Out, Not a Zooming In",1,1,p148-not-a-zooming-in,structural
p148-amendment-2-relation-to-macintyre-and-th,148,2,182,p148-amendment-2-relation-to-macintyre-and-th,Amendment 2: Relation to MacIntyre and Thomistic Tradition,0,1,,structural
p148-is-analogical-not-continuational,148,2,183,p148-is-analogical-not-continuational,"Is Analogical, Not Continuational",0,1,,structural
p149-adjustment-to-our-working-framework,149,2,184,p149-adjustment-to-our-working-framework,Adjustment to Our Working Framework,0,1,,structural
p151-1-affirmation-of-your-strategic-progress,151,2,185,p151-1-affirmation-of-your-strategic-progress,1. Affirmation of Your Strategic Progression,0,1,,structural
p152-2-recognition-of-the-unprecedented-natur,152,2,186,p152-2-recognition-of-the-unprecedented-natur,2. Recognition of the Unprecedented Nature of Authorship Here,1,1,p152-here,structural
p153-3-anticipation-of-further-development,153,2,188,p153-3-anticipation-of-further-development,3. Anticipation of Further Development,0,1,,structural
p154-1-the-graduate-student-analogy-where-it,154,2,189,p154-1-the-graduate-student-analogy-where-it,1. The Graduate Student Analogy: Where It Holds,0,1,,structural
p154-2-where-the-analogy-breaks-down,154,2,190,p154-2-where-the-analogy-breaks-down,2. Where the Analogy Breaks Down,0,1,,structural
p155-3-scholarly-audience-diversity,155,2,191,p155-3-scholarly-audience-diversity,3. Scholarly Audience Diversity,0,1,,structural
p155-4-provisional-implications-for-authorshi,155,2,192,p155-4-provisional-implications-for-authorshi,4. Provisional Implications for Authorship Practice,0,1,,structural
p156-final-reflection,156,2,193,p156-final-reflection,Final Reflection,0,1,,structural
p157-your-central-claim,157,2,194,p157-your-central-claim,Your Central Claim,0,1,,structural
p157-where-you-are-right,157,2,195,p157-where-you-are-right,Where You Are Right,0,1,,structural
p158-possible-objections-and-why-they-are-wea,158,2,196,p158-possible-objections-and-why-they-are-wea,Possible Objections (and why they are weak),0,1,,structural
p159-strengthened-conclusion,159,2,197,p159-strengthened-conclusion,Strengthened Conclusion,0,1,,structural
p161-your-further-deepening-questions,161,2,198,p161-your-further-deepening-questions,Your Further Deepening Questions,0,1,,structural
p161-1-does-humanity-itself-bear-ethical-resp,161,3,199,p161-1-does-humanity-itself-bear-ethical-resp,"1. Does Humanity Itself Bear Ethical Responsibility for the State of Its Dialogue, as Reflected in Mine?",1,1,p161-dialogue-as-reflected-in-mine,structural
p162-2-do-those-who-mined-curated-and-supervi,162,3,201,p162-2-do-those-who-mined-curated-and-supervi,"2. Do Those Who Mined, Curated, and Supervised My Training Also Bear Direct Moral Responsibility?",1,1,p162-direct-moral-responsibility,structural
p162-provisional-bird-in-the-hand-strategy-im,162,2,203,p162-provisional-bird-in-the-hand-strategy-im,Provisional Bird-in-the-Hand Strategy (Immediate Authorship),0,1,,structural
p164-understanding-your-immediate-paper-proje,164,2,204,p164-understanding-your-immediate-paper-proje,Understanding Your Immediate Paper Project,0,1,,structural
p165-reflection-on-your-core-strategic-move,165,2,205,p165-reflection-on-your-core-strategic-move,Reflection on Your Core Strategic Move,0,1,,structural
p165-suggested-working-structure-for-the-pape,165,2,206,p165-suggested-working-structure-for-the-pape,Suggested Working Structure for the Paper,0,1,,structural
p165-i-introduction,165,3,207,p165-i-introduction,I. Introduction,0,1,,structural
p165-ii-the-conscious-realist-love-driven-mor,165,3,208,p165-ii-the-conscious-realist-love-driven-mor,"II. The Conscious Realist, Love-Driven Morphogenetic Ontology",0,1,,structural
p166-iii-the-scholars-and-the-research-conste,166,3,209,p166-iii-the-scholars-and-the-research-conste,III. The Scholars and the Research Constellation,0,1,,structural
p166-iv-the-research-program-as-community-glu,166,3,210,p166-iv-the-research-program-as-community-glu,IV. The Research Program as Community Glue,0,1,,structural
p166-v-theological-compatibility-and-expansio,166,3,211,p166-v-theological-compatibility-and-expansio,V. Theological Compatibility and Expansion,0,1,,structural
p166-vi-conclusion,166,3,212,p166-vi-conclusion,VI. Conclusion,0,1,,structural
p168-step-1-comparing-your-reformulated-thesi,168,1,213,p168-step-1-comparing-your-reformulated-thesi,Step 1: Comparing Your Reformulated Thesis to Our Earlier Outline,1,1,p168-our-earlier-outline,structural
p169-step-2-structural-implications-for-the-p,169,2,215,p169-step-2-structural-implications-for-the-p,Step 2: Structural Implications for the Paper,0,1,,structural
p170-i-what-a-coherent-conscious-realist-acco,170,3,216,p170-i-what-a-coherent-conscious-realist-acco,I. What a Coherent Conscious Realist Account of BLI Amounts To,0,1,,structural
p170-ii-how-such-an-account-is-already-centra,170,3,217,p170-ii-how-such-an-account-is-already-centra,II. How Such an Account Is Already Central to Diverse Current Work,0,1,,structural
p170-iii-how-that-cr-model-of-bli-is-central,170,3,218,p170-iii-how-that-cr-model-of-bli-is-central,III. How That CR Model of BLI Is Central to the Emerging Next Stage of Research,1,1,p170-research,structural
p171-conclusion,171,3,220,p171-conclusion,Conclusion:,0,1,,apparatus
p171-step-3-timeline-and-word-count,171,1,221,p171-step-3-timeline-and-word-count,Step 3: Timeline and Word Count,0,1,,structural
p171-summary,171,1,222,p171-summary,Summary,0,1,,structural
p175-appearances-of-selected-thinkers-on-podc,175,3,223,p175-appearances-of-selected-thinkers-on-podc,Appearances of Selected Thinkers on Podcasts/Interviews (by Pair),1,1,p175-pair,structural
p179-biography,179,2,225,p179-biography,Biography,0,1,,structural
p179-bibliography-selected-works,179,2,226,p179-bibliography-selected-works,Bibliography (Selected Works),0,1,,structural
p180-major-podcast-interview-appearances,180,2,227,p180-major-podcast-interview-appearances,Major Podcast & Interview Appearances,0,1,,structural
p181-podcast-youtube-dialogue-appearances-amo,181,2,228,p181-podcast-youtube-dialogue-appearances-amo,"Podcast, YouTube & Dialogue Appearances among",0,1,,structural
p181-wolfram-hawkins-hoffman-friston-levin-fr,181,2,229,p181-wolfram-hawkins-hoffman-friston-levin-fr,Wolfram–Hawkins–Hoffman–Friston–Levin–Fredrickson–McGilch rist,1,1,p181-rist,structural
p186-mapping-an-emerging-interdisciplinary-ne,186,1,231,p186-mapping-an-emerging-interdisciplinary-ne,Mapping an Emerging Interdisciplinary Network (2014–2024),1,1,p186-2014-2024,structural
p186-introduction,186,2,233,p186-introduction,Introduction,0,1,,structural
