tradition,prs_id,label,first_seen_date,date_added,commit,present,file_relpath
arkanihamed,PRS-23,,2026-08-08,2026-08-08,f2eacfd3,1,wiki/traditions/arkanihamed/prs_triplets.md
arkanihamed,PRS-24,,2026-08-08,2026-08-08,f2eacfd3,1,wiki/traditions/arkanihamed/prs_triplets.md
carroll,PRS-01,"P1 (Text, pp.41–53) — Ontological closure vs. emergence",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-02,"P2 (Text, pp.44–47) — Quantum interpretation",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-03,"P3 (Text, pp.47–53) — Rival theory evaluation",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-04,P4 (Implicit) — Agency without dualism,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-05,P5 (Implicit) — Science–religion dialogue,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-06,"P6 (Implicit, via document contrast) — Physicalism's explanatory limit",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-07,P7 (PROP-2026-04-07-004) — Observer-centric quantum gravity,2026-04-07,2026-04-07,134bdc53,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-08,P8 (PROP-2026-04-08-004) — Intelligence as multidimensional across species,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-09,P9 (PROP-2026-04-08-005) — Biological agency as naturalist research program,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-10,P10 (PROP-2026-04-09-003) — Observer problem in Many-Worlds interpretation,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-11,P11 (PROP-2026-04-13-010) — Emergence classification and ontological taxonomy,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-12,P12 (PROP-2026-04-16-002) — Mindscape 350: J. Eric Oliver on The Self and How to Know It,2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-13,"P13 (PROP-2026-04-17-001) — Mindscape AMA | April 2026 — Wheeler-DeWitt, Timeless Universe, and Boltzmann Br",2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-14,P14 (PROP-2026-04-27-005) — Heilborn Lecture Series 2026 — Sean Carroll (3 lectures): Explaining the Arrow o,2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-15,"P15 (PROP-2026-04-27-005, 2nd candidate) — Heilborn Lecture Series 2026 — Sean Carroll (3 lectures): Explaining the Arrow o",2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-16,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-17,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-18,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-19,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-20,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-21,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-22,,2026-06-17,2026-06-17,5b2965b2,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-23,,2026-06-17,2026-06-17,5b2965b2,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-24,,2026-06-17,2026-06-17,5b2965b2,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-25,,2026-06-17,2026-06-17,5b2965b2,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-26,,2026-06-17,2026-06-17,5b2965b2,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-27,,2026-06-30,2026-03-16,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-28,,2026-06-30,2026-04-20,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-29,,2026-06-30,2026-04-20,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-30,,2026-06-30,2026-04-20,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-31,,2026-06-30,2026-04-20,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-32,,2026-06-30,2026-04-20,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-33,,2026-06-30,2026-04-20,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-34,,2026-06-30,2026-04-27,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-35,,2026-06-30,2026-04-27,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-36,,2026-06-30,2026-05-04,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-37,,2026-06-30,2026-05-11,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-38,,2026-06-30,2026-05-11,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-39,,2026-06-30,2026-05-11,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-40,,2026-06-30,2026-05-18,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-41,,2026-06-30,2026-05-18,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-42,,2026-06-30,2026-05-18,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-43,,2026-06-30,2026-05-28,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-44,,2026-06-30,2026-05-28,3d77f63e,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-45,,2026-07-01,2026-07-01,d5473b59,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-46,,2026-07-01,2026-07-01,d5473b59,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-47,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-48,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-49,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-50,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-51,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-52,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-53,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-54,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-55,,2026-08-08,2026-08-08,f2eacfd3,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-56,,2026-08-08,2026-08-08,f2eacfd3,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-57,,2026-08-08,2026-08-08,f2eacfd3,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-58,,2026-08-08,2026-08-08,f2eacfd3,1,wiki/traditions/carroll/prs_triplets.md
carroll,PRS-59,,2026-08-08,2026-08-08,f2eacfd3,1,wiki/traditions/carroll/prs_triplets.md
fredrickson,PRS-01,"P1 (Text, pp.88–96) — Isolation and disconnection",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-02,"P2 (Text, p.298) — Love reduced to sentiment",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-03,"P3 (Text, pp.89–92) — Scale-bridging in agent coupling",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-04,P4 (Implicit) — Relational coherence of conscious realism,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-05,P5 (Implicit) — Embodiment of abstract ontology,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-06,P6 (Implicit) — Democratizing participation in reality,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-07,P7 (PROP-2026-04-08-008) — Multi-level conducive conditions,2026-04-16,2026-04-08,446a5672,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-08,P8 (PROP-2026-04-08-008) — High-quality listening as resonance enabler,2026-04-16,2026-04-08,446a5672,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-09,P9 (PROP-2026-04-08-007) — Weak-tie intellectual humility,2026-04-16,2026-04-08,446a5672,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-10,P10 (PROP-2026-04-08-007) — Weak-tie community as loneliness solution,2026-04-16,2026-04-08,446a5672,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-11,P11 (PROP-2026-04-13-009) — Inflammation and resonance selectivity,2026-04-16,2026-04-13,446a5672,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-12,P12 (PROP-2026-04-13-008) — Community trust and structural inequality,2026-04-16,2026-04-13,446a5672,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-13,P13 (PROP-2026-04-13-008) — Why inequality harms weak-tie connection,2026-04-16,2026-04-13,446a5672,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-14,P14 (PROP-2026-04-16-004) — Conducive Conditions for Positivity Resonance at Multiple Levels of Analysis,2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-15,P15 (PROP-2026-04-16-005) — Why Loving Moments With Strangers Carry Lasting Benefits,2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-16,P16 (PROP-2026-04-27-002) — Improving social connection with weak ties and strangers: effects of a new micro,2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-17,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-18,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-19,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-20,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-21,,2026-06-30,2025-01-01,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-22,,2026-06-30,2025-01-01,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-23,,2026-06-30,2025-01-01,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-24,,2026-06-30,2025-01-01,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-25,,2026-06-30,2025-07-01,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-26,,2026-06-30,2025-07-01,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-27,,2026-06-30,2025-09-17,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-28,,2026-06-30,2025-09-17,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-29,,2026-06-30,2025-09-25,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-30,,2026-06-30,2025-09-25,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-31,,2026-06-30,,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
fredrickson,PRS-32,,2026-06-30,,3d77f63e,1,wiki/traditions/fredrickson/prs_triplets.md
friston,PRS-01,"P1 (Text, pp.65–67) — Biological agency without vitalism",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-02,"P2 (Text, p.66) — Neural causal architecture",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-03,"P3 (Text, pp.72–74) — Morphogenesis as free energy minimization",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-04,P4 (Implicit) — Organism as active modeler,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-05,P5 (Implicit) — Distributed cognition across scales,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-06,P6 (Implicit) — Multi-agent coherence via mutual modeling,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-07,P7 (PROP-2026-04-07-001) — FEP substrate-independence formally established,2026-04-07,2026-04-07,134bdc53,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-08,P8 (PROP-2026-04-07-001) — Morphogenetic active inference bridge,2026-04-07,2026-04-07,134bdc53,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-09,P9 (PROP-2026-04-08-007) — Minimal theory of consciousness implicit in active inference,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-10,P10 (PROP-2026-04-13-004) — Active inference as framework for artificial reasoning,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-11,P11 (PROP-2026-04-13-006) — Differential flatness parameterization for scalable active inference control,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-12,P12 (PROP-2026-04-13-005) — Predictive coding as viable neuro-mimetic AI paradigm,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-13,"P13 (PROP-2026-04-27-009) — The Body Does Not Keep the Score: Trauma, Predictive Coding, and the Restoration",2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-14,"P14 (PROP-2026-04-27-010) — Karl Friston Legacy Interview (with Mark Solms and Jeremy Holmes, hosted by Jane",2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-15,P15 (PROP-2026-05-11-004) — Active inference as formal validation of Boyd's full OODA loop,2026-05-22,2026-05-13,fc797397,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-16,"P16 (PROP-2026-05-11-004, 2nd candidate) — Expected free energy as unified mathematics of risk + ambiguity",2026-05-22,2026-05-13,fc797397,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-17,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-18,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-19,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-20,,2026-06-07,2026-06-07,49059ee2,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-21,,2026-06-17,2026-06-17,5b2965b2,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-22,,2026-06-30,2025-02-12,3d77f63e,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-23,,2026-06-30,2025-02-12,3d77f63e,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-24,,2026-06-30,2026-04-25,3d77f63e,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-25,,2026-06-30,2026-04-25,3d77f63e,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-26,,2026-06-30,,3d77f63e,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-27,,2026-06-30,,3d77f63e,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-28,,2026-06-30,2026-05-28,3d77f63e,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-29,,2026-06-30,2026-05-28,3d77f63e,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-30,,2026-07-01,2026-07-01,d5473b59,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-31,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-32,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-33,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-34,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-35,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/friston/prs_triplets.md
friston,PRS-36,,2026-07-21,2026-07-21,791ea3a0,1,wiki/traditions/friston/prs_triplets.md
hawkins,PRS-01,"P1 (Text, pp.278–285) — Intelligence without true understanding",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-02,"P2 (Text, p.294) — Distributed vs. centralised intelligence",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-03,"P3 (Text, p.29) — Knowledge-preserving AGI",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-04,P4 (Implicit) — Reference frames as universal cognitive tool,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-05,P5 (Implicit) — Temporal depth of intelligence,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-06,P6 (PROP-2026-04-08-006) — Hierarchical vs. heterarchical neocortex,2026-04-16,2026-04-08,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-07,P7 (PROP-2026-04-08-006) — AI architectural heterarchy,2026-04-16,2026-04-08,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-08,P8 (PROP-2026-04-08-005) — Sensorimotor learning and data efficiency,2026-04-16,2026-04-08,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-09,P9 (PROP-2026-04-08-005) — HTM implementation in silicon,2026-04-16,2026-04-08,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-10,P10 (PROP-2026-04-09-SUPP-001) — C2A2 as a thousand-brains system,2026-04-16,2026-04-09,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-11,P11 (PROP-2026-04-09-SUPP-001) — PRS triplets as reference frames,2026-04-16,2026-04-09,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-12,P12 (PROP-2026-04-09-SUPP-001) — Reference frames and Hoffman's interfaces,2026-04-16,2026-04-09,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-13,P13 (PROP-2026-04-09-SUPP-001) — Sensorimotor learning in C2A2,2026-04-16,2026-04-09,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-14,P14 (PROP-2026-04-09-SUPP-001) — Broaden-and-build as reference frame multiplicity,2026-04-16,2026-04-09,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-15,P15 (PROP-2026-04-09-SUPP-001) — Cortical columns as Kastrup's alters,2026-04-16,2026-04-09,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-16,P16 (PROP-2026-04-14-001) — Thousand-brains computational efficiency,2026-04-16,2026-04-14,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-17,P17 (PROP-2026-04-14-001) — Embodied learning validates HTM,2026-04-16,2026-04-14,446a5672,1,wiki/traditions/hawkins/prs_triplets.md
hawkins,PRS-18,P18 (PROP-2026-04-27-011) — AI Isn't Intelligent — Here's What's Missing | Jeff Hawkins (Ep. 14),2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/hawkins/prs_triplets.md
hoffman,PRS-01,"P1 (Text, p.452) — Hard problem transformation",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-02,"P2 (Text, pp.272, 452) — Physics–consciousness unification",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-03,"P3 (Text, pp.55–57) — Perception fitness-tracking",2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-04,P4 (Implicit) — Observer-dependent spacetime,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-05,P5 (Implicit) — AI consciousness,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-06,P6 (Implicit) — Moral status of non-human agents,2026-04-07,2026-04-03,134bdc53,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-07,"P7 (Inbox — Hoffman/Prakash Trace Logic Talk, Thoughtforms Life) — Trace logic as multiscale logic of minimal surprise",2026-04-16,2026-04-14,446a5672,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-08,P8 (Inbox — Hoffman/Prakash Trace Logic Talk) — Recursive agency as policy on the trace logic itself,2026-04-16,2026-04-14,446a5672,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-09,P9 (Inbox — Hoffman/Prakash Trace Logic Talk) — λ₂ intelligence metric and community structure,2026-04-16,2026-04-14,446a5672,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-10,P10 (Inbox — Hoffman/Prakash Trace Logic Talk) — Trace blankets subsume Markov blankets; FEP as special case of trace logic,2026-04-16,2026-04-14,446a5672,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-11,P11 (PROP-2026-04-08-007) — Quantum Interface Theory: quantum mechanics as interface phenomena,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-12,P12 (PROP-2026-04-08-007) — Quantum conscious agents formalism bridges algebra and physics,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-13,P13 (PROP-2026-04-14-002) — Spacetime bounds on unified consciousness,2026-04-16,2026-04-16,446a5672,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-14,P14 (PROP-2026-04-21-001) — What Are Traces of Consciousness? A New Breakthrough Unifying Mind and Reality,2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-15,P15 (PROP-2026-04-27-002) — HOMeHOPe Virtual Symposium 2026 — Donald Hoffman keynote on Consciousness Theori,2026-05-11,2026-04-28,a0f86118,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-16,"P16 (PROP-2026-04-28-001) — Stevens' Handbook of Experimental Psychology, ITP chapter (FBT + IOS, theorem-grade)",2026-05-11,2026-05-05,a0f86118,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-17,P17 (PROP-2026-04-28-001) — ITP-internal redefinition of illusion and hallucination,2026-05-11,2026-05-05,a0f86118,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-18,"P18 (PROP-2026-04-28-001) — IOS Theorem as perceptual-science-internal route to ""spacetime is doomed""",2026-05-11,2026-05-05,a0f86118,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-19,,2026-06-30,,3d77f63e,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-20,,2026-06-30,,3d77f63e,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-21,,2026-06-30,,3d77f63e,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-22,,2026-06-30,,3d77f63e,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-23,,2026-06-30,2026-04-04,3d77f63e,1,wiki/traditions/hoffman/prs_triplets.md
hoffman,PRS-24,,2026-06-30,2026-04-04,3d77f63e,1,wiki/traditions/hoffman/prs_triplets.md
