cell_id,sheet_row,seq_in_row,words,stratum,weight,node,voice,about,confidence,work_order,reason
r329c4,330,2,41,C_21-60,24.82,III.2.8,Loughran,,high,0,creation as God freely entertaining a limited perspective
r333c4,334,2,20,B_6-20,21.92,III.2.1,Loughran,,high,0,"critical history of Bohr, Pauli, Heisenberg on QM"
r334c14,335,7,72,D_61-200,23.7,III.2.8,Loughran,,high,0,"united in single Consciousness; bind on earth, in Christ"
r342c5,343,3,20,B_6-20,21.92,III.1.1,Loughran,,med,0,can mathematical analysis account for consciousness
r357c5,358,1,48,C_21-60,24.82,III.2.4,Loughran,Hoffman,high,0,DH=Hoffman; correlation without causation in Cs-brain studies
r366c3,367,1,1031,E_>200,6.59,III.1.3,Loughran,,med,0,theory-laden facts via Higgs reconstruction at CMS/ATLAS
r373c3,374,1,19,B_6-20,21.92,I.4.3,Loughran,Moes;Ballentine,med,0,teachers as professional inviters into rich community
r375c3,376,1,266,E_>200,6.59,I.4.2,Loughran,,med,0,invitation; meaning of an act emerges as consensus
r379c7,380,5,29,C_21-60,24.82,II.4,Science 2005,,med,0,"cited: top 125 open questions, Science special issue"
r380c7,381,3,45,C_21-60,24.82,III.2.8,Loughran,Dennett,high,0,Dennett on communal dimensions of religion without myth
r381c5,382,3,58,C_21-60,24.82,III.1.2,Loughran,Hoffman,high,0,interface theory of perception follows from FBT
r386c7,387,5,32,C_21-60,24.82,III.2.4,Loughran,,med,0,"reported IIT line: causal power in hardware, not software"
r388c14,389,9,54,C_21-60,24.82,III.2.4,Loughran,,high,0,zap-and-zip; GNW as dominant zeitgeist
r392c7,393,5,256,E_>200,6.59,III.1,Loughran,Hoffman,high,0,information as exclusion of possibility; conscious realism
r392c17,393,11,156,D_61-200,23.7,III.2.8,Loughran,,high,0,"theological: limited perspective, seeing dimly, in Christ"
r392c20,393,13,266,E_>200,6.59,III.2.8,Loughran,Kuhn,med,0,paradigm shifts driven by thirst for holistic explanation
r394c5,395,2,13,B_6-20,21.92,III.3,Loughran,,med,0,telos emerging from love-centric fundamental consciousness
r395c15,396,7,143,D_61-200,23.7,III.1,Loughran,Hoffman,high,0,observer role follows from LPCR; conscious realism premise
r404c12,405,6,173,D_61-200,23.7,III.3,Loughran,Bloom,med,0,Bloom on passions in education; limits of the approved
r416c3,417,1,17,B_6-20,21.92,II.4,Loughran,Julian of Norwich;Rohr,high,0,"source pointers, Julian and Rohr"
r421c4,422,2,248,E_>200,6.59,I.4,Loughran,MacIntyre,high,0,describes the accelerator: high-information-flow rich communities
r422c8,423,5,48,C_21-60,24.82,I.3.3,Loughran,,high,0,a right to full information provenance for public claims
r426c12,427,5,243,E_>200,6.59,III.1,Loughran,Tegmark,high,0,"every possibility actual on pCR, en route to integrated whole"
r439c3,440,1,128,D_61-200,23.7,III.2.4,Loughran,Humphrey,high,0,blindsight; Cs function is social mind-reading
r444c13,445,7,235,E_>200,6.59,III.2.8,UNKNOWN-testimony,,low,0,first-person ex-evangelical testimony; not Loughran voice
r455c5,456,3,39,C_21-60,24.82,III.2.9,Loughran,MacIntyre;Charles Taylor,med,0,AM and CT humanism against reductionist naturalism
r456c17,457,7,175,D_61-200,23.7,I.3.2,Loughran,,high,0,QUANTITATIVE MODEL of inter-tradition information transfer
r457c5,458,3,37,C_21-60,24.82,III.2.1,Loughran,,high,0,Boltzmann coarse-graining and the subjectivity of entropy
r469c19,470,17,5,A_frag<=5,17.5,X.2,Loughran,,med,0,"numbered list item, people/places"
r469c23,470,21,3,A_frag<=5,17.5,X.2,Loughran,,med,0,"numbered list item, people/places"
r469c24,470,22,6,B_6-20,21.92,X.2,Loughran,,med,0,"numbered list item, people/places"
r471c4,472,2,93,D_61-200,23.7,III.1,Loughran,Hoffman,high,0,DH two presumptions; is multiple agency a third
r474c3,475,1,57,C_21-60,24.82,I.1,Loughran,,low,1,meta: fresh overview of the RC project and where to start
r494c4,495,2,70,D_61-200,23.7,III.1.1,Loughran,,med,0,what is real on DWP vs pCRm intuitions
r495c8,496,5,214,E_>200,6.59,III.2.7,Godel,Godel;Russell,high,0,QUOTED Godel on axioms justified as in physics
r496c12,497,9,91,D_61-200,23.7,III.2.3,Loughran,Plomin,med,0,heritability vs unexplained 40pct; TL marks own comment
r499c3,500,1,16,B_6-20,21.92,III.2.10,Loughran,,med,0,GameStop/Robinhood event pointer
r499c6,500,4,239,E_>200,6.59,III.2.10,Loughran,,med,0,capitalism infused with social responsibility via social business
r502c13,503,5,247,E_>200,6.59,I.2,Loughran,MacIntyre;Sneed,high,0,master science argument; M's algorithm; PoP as exception
r506c6,507,4,190,D_61-200,23.7,III.1,Loughran,Eric Weinstein,high,0,enjoy/calculate duality; created being as abstractable element
r511c5,512,3,37,C_21-60,24.82,III.2.7,Loughran,Plato,med,0,critique of a reading of Plato as Spartan/Pythagorean
r517c20,518,8,20,B_6-20,21.92,III.2.3,Loughran,,med,0,"thirteenth principle of modularity, predictive organisms"
r519c20,520,8,139,D_61-200,23.7,III.3,Loughran,,high,0,"full justification, time- and person-indexed"
r522c5,523,3,98,D_61-200,23.7,III.2.8,Loughran,,med,0,skeleton case for reform of the Church
r522c9,523,7,124,D_61-200,23.7,I.2,Loughran,MacIntyre;Aquinas,high,1,the new Summa project named; write the paper
r530c4,531,2,60,C_21-60,24.82,III.3,Loughran,MacIntyre;Singer,high,1,Singer on absence of justification for special human dignity
r533c5,534,3,408,E_>200,6.59,III.1,Loughran,,high,0,"external world, conscious agents, 150k cortical columns"
r560c3,561,1,15,B_6-20,21.92,II.4,Loughran,W P Miller,med,0,"source pointer, cellular world"
r567c3,568,1,79,D_61-200,23.7,I.5,MacIntyre,MacIntyre,high,0,QUOTED AV2:277 - no a priori guarantee against relativism
r585c3,586,1,188,D_61-200,23.7,I.4.3,Loughran,,med,0,"PoP reform: service, apostolic activity, outward connection"
r592c3,593,1,9,B_6-20,21.92,II.4,Loughran,Kastrup,high,0,"BK=Kastrup; source pointer, physics points to mind"
r595c18,596,11,183,D_61-200,23.7,III.2.3,paper-authors,Aristotle,high,0,QUOTED: what do we mean by cognition
r608c11,609,5,4,A_frag<=5,17.5,Z,Loughran,,low,1,"bare work-order, no topical content"
r609c5,610,2,277,E_>200,6.59,III.2.3,paper-authors,Shettleworth,high,0,QUOTED working definition of cognition
r613c4,614,1,106,D_61-200,23.7,III.2.3,Loughran,Levin;McGilchrist;Wolfram;Spivak,high,0,"mathematical forms found, not derived; ties Levin to Wolfram"
r615c6,616,3,254,E_>200,6.59,III.1,Loughran,,high,0,a model of the whole conscious of the whole it models
