cell_id,sheet_row,col,seq_in_row,words,node,run_id,voice,about,discipline,work_order,confidence,reason,src,pass
r4c9,5,9,7,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c10,5,10,8,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c11,5,11,9,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c12,5,12,10,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c13,5,13,11,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c14,5,14,12,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c15,5,15,13,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c16,5,16,14,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c17,5,17,15,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c18,5,18,16,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c19,5,19,17,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c20,5,20,18,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c21,5,21,19,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c22,5,22,20,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c23,5,23,21,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c24,5,24,22,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c25,5,25,23,5,X.1,8,apparatus,,,0,high,bookkeeping label,prepass,
r4c26,5,26,24,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r4c27,5,27,25,1,X.1,8,apparatus,,,0,high,numeric or single-token,prepass,
r5c3,6,3,1,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c4,6,4,2,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c5,6,5,3,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c6,6,6,4,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c7,6,7,5,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c8,6,8,6,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c9,6,9,7,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c10,6,10,8,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c11,6,11,9,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c12,6,12,10,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c13,6,13,11,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c14,6,14,12,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c15,6,15,13,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c16,6,16,14,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c17,6,17,15,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c18,6,18,16,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c19,6,19,17,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c20,6,20,18,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c21,6,21,19,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c22,6,22,20,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c23,6,23,21,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c24,6,24,22,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r5c25,6,25,23,5,X.1,9,apparatus,,,0,high,bookkeeping label,prepass,
r5c26,6,26,24,1,X.1,9,apparatus,,,0,high,numeric or single-token,prepass,
r6c3,7,3,1,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c4,7,4,2,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c5,7,5,3,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c6,7,6,4,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c7,7,7,5,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c8,7,8,6,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c9,7,9,7,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c10,7,10,8,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c11,7,11,9,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c12,7,12,10,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c13,7,13,11,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c14,7,14,12,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c15,7,15,13,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c16,7,16,14,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c17,7,17,15,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c18,7,18,16,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c19,7,19,17,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c20,7,20,18,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c21,7,21,19,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c22,7,22,20,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c23,7,23,21,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c24,7,24,22,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r6c25,7,25,23,5,X.1,10,apparatus,,,0,high,bookkeeping label,prepass,
r6c26,7,26,24,1,X.1,10,apparatus,,,0,high,numeric or single-token,prepass,
r7c3,8,3,1,8,I.2,11,Loughran,MacIntyre,,1,high,note-to-self to resurrect a revolutionary version of M's account,out_batch_01.psv,
r8c3,9,3,1,1,X.1,12,apparatus,,,0,high,numeric or single-token,prepass,
r8c4,9,4,2,33,I.1,13,Loughran,,,0,med,statement of what is at stake and our duty to attempt it,out_batch_01.psv,
r9c3,10,3,1,29,I.4,14,Loughran,,physics;sociology,1,med,to-do open with LHC SSC QuarkNet as proof big changes are possible,out_batch_01.psv,
r10c3,11,3,1,21,I.4,15,Loughran,,physics,1,med,to-do highlight LIGO as huge investment in the best account we have,out_batch_01.psv,
r11c3,12,3,1,8,I.4.2,16,Loughran,,,1,med,to-do find ways to illustrate the usefulness of multiple perspectives,out_batch_01.psv,
r12c4,13,4,1,18,I.2.3,17,Loughran,,,0,med,BOSCO example of competing narratives with opposite implications,out_batch_01.psv,
r13c4,14,4,1,18,I.2.2,18,Loughran,Kuhn,,0,med,Kuhn's method take the craziest part seriously then reimagine the rest,out_batch_01.psv,
r14c4,15,4,1,7,I.4.3,19,Loughran,,sociology,0,med,People of Praise stance of standing with the excluded,out_batch_01.psv,
r15c3,16,3,1,6,III.3,20,Loughran,,,0,med,thesis that to love is to be free,out_batch_01.psv,
r15c4,16,4,2,3,III.4,21,Loughran,,,0,high,love is personal,out_batch_01.psv,
r15c5,16,5,3,3,III.3,22,Loughran,,,0,med,inclination is reactive - a natural law inclination claim,out_batch_01.psv,
r15c6,16,6,4,17,III.4,23,Loughran,,,0,med,inclination toward a person known as person is mutuality,out_batch_01.psv,
r16c3,17,3,1,6,III.3,24,Loughran,,,0,med,converse thesis that to be free is to love,out_batch_01.psv,
r16c4,17,4,2,19,III.3,24,Loughran,Augustine,theology,0,med,freedom as apprehending all and responding as you will,out_batch_01.psv,
r17c3,18,3,1,327,III.4,25,Loughran,,theology,0,high,long meditation on love as given input and as our own output,out_batch_01.psv,
r17c10,18,10,2,100,III.4,25,Jacqui Lewis,,theology,0,high,QUOTED CAC newsletter passage on shedding religion that wounds,out_batch_01.psv,
r17c13,18,13,3,28,III.3,26,Loughran,MacIntyre,philosophy,0,med,footnote flagging expressivist creation against M on expressivism,out_batch_01.psv,
r18c3,19,3,1,85,III.1,27,Loughran,,theology,0,high,love dynamic restated on a fundamental consciousness limited-perspective view,out_batch_01.psv,
r19c3,20,3,1,24,III.3,28,Loughran,,,1,med,note to try showing that an expressivist good reveals freedom,out_batch_01.psv,
r19c4,20,4,2,110,III.3,28,Loughran,,,0,med,love as informed stable freedom choosing and making the good,out_batch_01.psv,
r20c3,21,3,1,20,III.3,29,Loughran,,physics,0,med,analogy of forces uniting at high energy applied to love and freedom,out_batch_01.psv,
r20c5,21,5,2,5,III.3,29,Loughran,,,0,med,truth will set you free,out_batch_01.psv,
r20c6,21,6,3,10,III.1.3,30,Loughran,,,0,med,claim that freedom leads to and ultimately creates truth,out_batch_01.psv,
r21c3,22,3,1,7,III.4,31,Loughran,,,0,med,asks whether love is the propagation of creative agency,out_batch_01.psv,
r21c4,22,4,2,9,III.4,31,Loughran,,theology,0,med,on that model to love is to breathe God,out_batch_01.psv,
r21c5,22,5,3,53,III.4,31,Loughran,,sociology,0,high,to be loved is to be personally authorized as an acting person,out_batch_01.psv,
r21c7,22,7,4,78,III.4,31,Loughran,,,0,high,to love another is to empower them personally as the whole point,out_batch_01.psv,
r22c3,23,3,1,7,III.3,32,Loughran,,,0,med,full freedom is love and fully love,out_batch_01.psv,
r23c3,24,3,1,14,III.2.S,33,Loughran,,physics,0,med,emergent properties and nonlocality after Bell's theorem,out_batch_01.psv,
r23c4,24,4,2,34,III.2.S,33,Loughran,Cronin;Walker,physics;chemistry,0,med,later note on assembly theory crawling from the possible to the actual,out_batch_01.psv,
r24c3,25,3,1,6,III.1.3,34,Loughran,,,0,high,truth is a stable enduring relationship,out_batch_01.psv,
r24c4,25,4,2,12,II.4,35,Loughran,MacIntyre;Aquinas,,0,high,IDNL p.21 citation heading the truth passage,out_batch_01.psv,
r24c5,25,5,3,63,III.1.3,36,MacIntyre,MacIntyre;Aquinas,philosophy,0,high,QUOTED definition of truth as an achieved relation of intellect to object,out_batch_01.psv,
r24c7,25,7,4,232,III.1.3,36,Loughran,Aquinas;MacIntyre,theology,0,high,argues truth is a maximally stable relation with knowers as co-creators,out_batch_01.psv,
r24c10,25,10,5,125,III.1.3,36,Loughran,Aquinas,theology,0,high,Ia Q14 house passage read as truth negotiated with created knowers,out_batch_01.psv,
r25c4,26,4,1,4,III.1.3,37,Loughran,,,0,med,fragment naming the relation between intellect and object,out_batch_01.psv,
r25c5,26,5,2,10,III.1.3,37,Loughran,,,0,med,asks what intellect means - language community humankind,out_batch_01.psv,
r26c5,27,5,1,24,III.1.3,38,Loughran,,,0,high,truth as negotiated settlement - a peace-building account,out_batch_01.psv,
r26c6,27,6,2,32,III.1.3,38,Loughran,,psychology,0,med,calls for a realistic account of intellect and passions in any account of truth,out_batch_01.psv,
r27c3,28,3,1,6,I.4.2,39,Loughran,,,0,med,rhetoric or reasons from different perspectives,out_batch_01.psv,
r27c4,28,4,2,18,I.4.2,39,Loughran,,sociology,0,med,asks for a place for respect for truth across tradition boundaries,out_batch_01.psv,
r27c5,28,5,3,84,I.4.2,39,MacIntyre,MacIntyre,,0,high,QUOTED IDM p22 on intellectual and moral asceticism in rhetoric,out_batch_01.psv,
r27c7,28,7,4,43,I.4.2,39,MacIntyre,MacIntyre,,0,high,QUOTED IDM p23 on no deceptive or misleading speech in shared enquiry,out_batch_01.psv,
r27c8,28,8,5,136,I.4.2,39,Loughran,Plato,psychology,0,high,casuistry of foreseen but unintended misleading in Plato's Republic,out_batch_01.psv,
r28c3,29,3,1,1,III.3,40,Loughran,,,0,med,topic label opening the compatibilism row,out_batch_01.psv,
r28c4,29,4,2,11,III.3,40,Loughran,,,0,med,autobiographical note on having been a libertarian about free will,out_batch_01.psv,
r28c5,29,5,3,32,III.3,40,Loughran,,,0,high,thesis that a compatibilist lens serves rational inquiry and natural law,out_batch_01.psv,
r28c6,29,6,4,8,III.3,40,Loughran,,,0,med,compatibilism grounds a realist hope for rational inquiry,out_batch_01.psv,
r28c7,29,7,5,4,III.3,40,Loughran,,,0,low,unfinished parallel clause on compatibilism's payoff for natural law,out_batch_01.psv,
r28c8,29,8,6,55,III.3,40,Loughran,Aquinas,theology,0,med,compatibilism makes sense of Aquinas on predestination and the will,out_batch_01.psv,
r29c3,30,3,1,3,III.4,41,Loughran,,,0,med,topic label integral human development,out_batch_01.psv,
r29c4,30,4,2,1,II.4,42,Loughran,,,0,high,bare source URL,prepass,
r29c5,30,5,3,11,III.4,43,Loughran,,,0,high,love confers being subject to the capacity of what is loved,out_batch_01.psv,
r29c6,30,6,4,31,III.4,43,Loughran,,,0,med,being unfolds in time so conferring being requires development,out_batch_01.psv,
r29c7,30,7,5,19,III.4,43,Loughran,,,0,high,integral human development as the way love unfolds toward persons,out_batch_01.psv,
r29c8,30,8,6,18,III.4,43,Loughran,,,0,med,capacities are relational and negotiated not ours to dictate,out_batch_01.psv,
r29c9,30,9,7,19,III.2.N,44,Loughran,,biology,1,med,to-do find biologist allowing empirical Lamarckian evolution; no sub-neuronal rung,repass_NB,
r30c3,31,3,1,4,III.2.S,45,Loughran,,physics,0,med,topic label pairing music with quantum entanglement,out_batch_01.psv,
r30c4,31,4,2,8,III.2.S,45,Loughran,,,0,low,exploring while connected to the unseen and unseeable,out_batch_01.psv,
r30c5,31,5,3,1,II.4,46,Loughran,,,0,high,bare source URL,prepass,
r30c6,31,6,4,2,II.4,46,Loughran,Jura Margulis,,0,med,bare name pointer to the pianist,out_batch_01.psv,
r30c8,31,8,5,5,III.2.S,47,Loughran,,physics,0,med,entanglement with stable tendencies emerging,out_batch_01.psv,
r30c9,31,9,6,12,III.2.S,47,Loughran,,physics,0,med,creativity within the bounds of being via entanglement and tunneling,out_batch_01.psv,
r31c3,32,3,1,8,III.2.S,48,Loughran,,physics,0,med,quantum tunneling as analogy and maybe more than analogy,out_batch_01.psv,
r31c4,32,4,2,4,Z,49,Loughran,,,0,low,truncated clause with no placeable content,out_batch_01.psv,
r32c3,33,3,1,2,III.2.I,50,Loughran,,computer science,0,low,bare topic label artificial intelligence,out_batch_01.psv,
r32c4,33,4,2,5,III.3,51,Loughran,MacIntyre,psychology,0,high,thesis that ends are not psychological states,out_batch_01.psv,
r32c5,33,5,3,85,III.3,51,MacIntyre,MacIntyre,philosophy,0,high,QUOTED IDM p50 on the finality of ends and incoherent moral teleology,out_batch_01.psv,
r32c7,33,7,4,122,III.3,51,Loughran,,,0,med,asks what grounds worth and answers that love is the metaphysical foundation,out_batch_01.psv,
r32c10,33,10,5,103,III.3,51,Loughran,MacIntyre,psychology,0,med,reread of M on ends as a problem for pCRm where all is psychological state,out_batch_01.psv,
r32c11,33,11,6,94,III.3,51,Loughran,MacIntyre,psychology,0,high,counterfactuals about added information give ends their normative remove,out_batch_01.psv,
r32c12,33,12,7,180,III.3,51,Loughran,Aristotle;MacIntyre,sociology;psychology,0,high,ends can align with the states of well-formed informed members of communities,out_batch_01.psv,
r32c14,33,14,8,60,III.3,51,Loughran,,,0,med,reductio that optimally informed persons would deviate from rival standards,out_batch_01.psv,
r33c3,34,3,1,2,III.2.I,52,Loughran,,biology,0,low,bare topic label genetic engineering,out_batch_01.psv,
r33c5,34,5,2,17,III.3,53,Loughran,MacIntyre,,1,med,ends can also be deliberated about - blank IDM page ref left to fill,out_batch_01.psv,
r33c6,34,6,3,10,III.3,53,Loughran,,,1,med,to-do use the swapping expected psychological outcomes thought experiment,out_batch_01.psv,
r33c7,34,7,4,99,I.2.3,54,Loughran,MacIntyre,,0,high,choosing to love little leaves one open to transformative inhabitation,out_batch_01.psv,
r34c3,35,3,1,23,III.4,55,Loughran,,,0,med,love stated as an empirical claim about what you will actually choose,out_batch_01.psv,
r34c4,35,4,2,39,I.3.2,56,Loughran,,,0,med,we should learn to make the love claim provably - the craft of loving well,out_batch_01.psv,
r34c6,35,6,3,11,III.4,57,Scripture?,,theology,0,low,proverb that reproof by a good man is kindness,out_batch_01.psv,
r34c7,35,7,4,19,I.4.2,58,Loughran,,,0,med,rhetorical control used to invite and empower informed choice,out_batch_01.psv,
r34c8,35,8,5,22,I.3.2,59,Loughran,,,0,high,claims unloving choices are uninformed and offers to take the measurement,out_batch_01.psv,
r35c3,36,3,1,13,I.3.2,60,Loughran,,,0,med,criteria for proving love - power invitation liberation submission joy,out_batch_01.psv,
r35c4,36,4,2,15,I.3.1,61,Scripture?,,theology,0,med,by this they will know - mutual love as the public signal,out_batch_01.psv,
r37c3,38,3,1,6,I.2.1,62,Loughran,,philosophy,0,med,dialectic binds elements into a whole,out_batch_01.psv,
r37c4,38,4,2,15,I.2.1,62,Loughran,,philosophy,0,med,asks whether the whole has a precise deductive interpretation,out_batch_01.psv,
r37c5,38,5,3,118,I.2.1,62,Loughran,Aquinas,philosophy;sociology,0,high,interpreting a system like Aquinas means embracing a tradition of inquiry,out_batch_01.psv,
r37c8,38,8,4,45,I.2.1,62,Loughran,Newton;Einstein,physics,0,high,physicists as one tradition across Newton Einstein and entanglement,out_batch_01.psv,
r38c3,39,3,1,15,I.2.4,63,Loughran,MacIntyre,philosophy,0,high,natural law from reason versus by reason from inclinations,out_batch_01.psv,
r38c4,39,4,2,39,I.2.4,63,Loughran,Porter;MacIntyre,philosophy,0,high,sides with Porter that NL precepts come from inclinations not per se nota,out_batch_01.psv,
r38c5,39,5,3,4,II.4,64,Loughran,Porter,,0,high,bare citation Porter p.81 IDM,out_batch_01.psv,
r38c6,39,6,4,94,I.2.4,65,Porter,Aquinas,philosophy,0,high,QUOTED Porter on practical reason presupposing rational desire for a good,out_batch_01.psv,
r39c3,40,3,1,4,I.2.4,66,Loughran,Grisez;Finnis,,0,med,label marking the contrast with Grisez and Finnis,out_batch_01.psv,
r39c4,40,4,2,54,I.2.4,66,Loughran,Porter;Grisez;Finnis,philosophy,0,high,NL precepts as messy all-things-considered judgments not exceptionless norms,out_batch_01.psv,
r39c6,40,6,3,57,I.2.4,66,Porter,Porter,philosophy,0,high,QUOTED Porter IDM p.83 on pursuing inclinations without a speculative theory,out_batch_01.psv,
r40c3,41,3,1,8,I.4.2,67,Loughran,,sociology,0,high,reconciliation between traditions requires a rhetoric of resonance,out_batch_01.psv,
r40c4,41,4,2,11,II.4,68,Loughran,Philpott,,0,high,pointer to Philpott's final section IDM p.185ff,out_batch_01.psv,
r40c5,41,5,3,36,I.2.3,69,Loughran,MacIntyre,sociology,0,high,imaginative inhabitation of the rival as a second first-language speaker,out_batch_01.psv,
r40c6,41,6,4,36,I.2.3,69,Loughran,,theology;sociology,0,med,Thomistic requirement to see Christ in inhabitants of the rival tradition,out_batch_01.psv,
r40c7,41,7,5,87,I.2.3,69,Loughran,Singer,sociology,0,high,worked case inviting utilitarians on their own utilitarian grounds,out_batch_01.psv,
r40c9,41,9,6,67,I.2.3,69,Loughran,Charles Taylor;Philpott,philosophy;sociology,0,high,a tradition proves itself by immersion in its rivals' promise,out_batch_01.psv,
r40c10,41,10,7,89,I.4.2,70,Loughran,,,0,med,promise seen in a tradition and in a person is the key to persuasion,out_batch_01.psv,
r41c3,42,3,1,15,I.4.2,71,Loughran,,,0,med,asks whether persuading to the true good beautiful confers being,out_batch_01.psv,
r41c4,42,4,2,29,I.4.2,71,Loughran,,computer science,0,med,persuasion as conveying a causal pattern like fire or executable code,out_batch_01.psv,
r41c5,42,5,3,97,I.4.2,71,Loughran,Aristotle;Plato,philosophy,0,med,sharing insight as an act of love conferring potency and form,out_batch_01.psv,
r41c8,42,8,4,26,I.4.2,71,Loughran,,,0,med,seeing past problems into promise then affirming clarifying delivering,out_batch_01.psv,
r42c3,43,3,1,15,I.2.3,72,Loughran,,sociology,0,high,advancing your own tradition is bound up with advancing your rivals,out_batch_01.psv,
r42c4,43,4,2,94,I.2.3,72,Philpott,Philpott;MacIntyre,sociology,0,high,QUOTED Philpott on reasoning within a tradition toward shared consensus,out_batch_01.psv,
r42c7,43,7,3,48,I.2.3,72,Loughran,,sociology,0,high,each tradition offers evidence of success by blessing and being blessed,out_batch_01.psv,
r42c9,43,9,4,34,I.2.3,72,Loughran,,,0,med,asks whether to engage the weakest or the strongest version of a rival,out_batch_01.psv,
r43c4,44,4,1,62,I.2.3,73,Loughran,MacIntyre,,0,med,questions whether M has lost sight of mutual advancement,out_batch_01.psv,
r43c5,44,5,2,139,I.5,74,MacIntyre,MacIntyre,philosophy,0,high,QUOTED cornerstone passage on why the position is not relativistic,out_batch_01.psv,
r43c9,44,9,3,55,I.4.2,75,Loughran,,sociology,0,med,the arguer's job is to make the whole appeal not just assert the parts,out_batch_01.psv,
r44c4,45,4,1,25,I.4.2,76,Loughran,MacIntyre,,0,med,heads the M passage on rhetoric and the boundedness of premises,out_batch_01.psv,
r44c5,45,5,2,114,I.4.2,76,MacIntyre,MacIntyre;Kaveny,sociology,0,high,QUOTED M on rhetoric and families exemplifying the goods of family life,out_batch_01.psv,
r44c9,45,9,3,54,I.4.2,76,Loughran,,,0,med,rhetoric as the craft of loving well in communication,out_batch_01.psv,
r45c3,46,3,1,11,I.1,77,Loughran,,sociology,0,med,2016 Gallup figures on moral acceptability of contraception and abortion,out_batch_01.psv,
r45c4,46,4,2,16,I.1,77,Loughran,,sociology,0,med,complements of the Gallup figures restated,out_batch_01.psv,
r45c5,46,5,3,67,I.1,77,Loughran,,sociology,0,med,partisan breakdown of abortion and contraception attitudes,out_batch_01.psv,
r45c8,46,8,4,188,I.1,77,Loughran,,sociology,0,high,computes 44% of the electorate holding an incoherent pair of judgments,out_batch_01.psv,
r45c14,46,14,5,28,I.1,77,Loughran,,,1,med,note that the paragraph moves too fast and needs careful redoing,out_batch_01.psv,
r45c15,46,15,6,19,X.2,78,apparatus,,,0,high,legend defining the E CyAn abbreviation and the data source,out_batch_01.psv,
r46c3,47,3,1,1,X.2,79,apparatus,,,0,high,in-sheet pointer to calculations at right,out_batch_01.psv,
r46c15,47,15,2,5,X.2,79,apparatus,,,0,high,table header for the Republican share,out_batch_01.psv,
r46c16,47,16,3,5,X.2,79,apparatus,,,0,high,table header for the Democratic share,out_batch_01.psv,
r46c17,47,17,4,5,X.2,79,apparatus,,,0,high,table header for the Independent share,out_batch_01.psv,
r46c18,47,18,5,5,X.1,80,apparatus,,,0,high,bookkeeping label,prepass,
r46c19,47,19,6,2,X.2,81,apparatus,,,0,high,table header 2016 Electorate,out_batch_01.psv,
r46c20,47,20,7,4,X.2,81,apparatus,,,0,high,table header count of E CyAn,out_batch_01.psv,
r47c15,48,15,1,1,X.1,82,apparatus,,,0,high,numeric or single-token,prepass,
r47c16,48,16,2,1,X.1,82,apparatus,,,0,high,numeric or single-token,prepass,
r47c17,48,17,3,1,X.1,82,apparatus,,,0,high,numeric or single-token,prepass,
r47c18,48,18,4,1,X.1,82,apparatus,,,0,high,numeric or single-token,prepass,
r47c19,48,19,5,1,X.1,82,apparatus,,,0,high,numeric or single-token,prepass,
r47c20,48,20,6,1,X.1,82,apparatus,,,0,high,numeric or single-token,prepass,
r48c3,49,3,1,20,I.2.4,83,Loughran,Ratzinger;McKenny,sociology;history,0,high,claims the tradition apparatus answers Ratzinger's natural law questions,out_batch_01.psv,
r48c4,49,4,2,39,I.2.4,83,Ratzinger?,Ratzinger,theology;sociology,0,med,QUOTED first question why NL claims fail to secure rational agreement,out_batch_01.psv,
r48c5,49,5,3,36,I.2.4,83,Ratzinger?,Ratzinger,theology,0,med,QUOTED second question why reason outside the Church diverges,out_batch_01.psv,
r48c6,49,6,4,34,I.2.4,83,Ratzinger?,Ratzinger,theology,0,med,QUOTED third question why NL doctrine looks parochial,out_batch_01.psv,
r49c3,50,3,1,8,I.2.4,84,Loughran,Ratzinger,,0,med,heads his own responses to Ratzinger from a compatibilist-Thomist standpoint,out_batch_01.psv,
r49c4,50,4,2,26,I.4.3,85,Loughran,,sociology,0,high,the communities and fora needed to produce NL evidence are missing,out_batch_01.psv,
r49c5,50,5,3,34,I.4.3,85,Loughran,,sociology,0,high,reason's dependence on noncognitive formation in communities has been lost,out_batch_01.psv,
r49c6,50,6,4,79,I.4.3,85,Loughran,,theology;sociology,0,high,one cannot become an adult in a tradition on one's own,out_batch_01.psv,
