r292c6|III.2.A|Loughran||theology|0|med|full awareness of possibilities and intent to share consciousness
r292c7|III.3|Loughran||computer science;theology|0|med|the goal follows from love: the end state to be computed
r292c8|III.4|Loughran|||0|med|definition of love as active favor toward another's active favor
r293c4|III.2.I|Loughran||computer science;theology|0|high|information level: information loaded for the computation of means
r293c5|III.2.I|Loughran|||0|med|the transformation matrix as the laws of nature and the model
r293c6|III.2.I|Loughran|||0|med|selection of the first state as the existence matrix
r293c7|III.1.1|Loughran||physics|0|med|argues Everettian many-worlds is false though the matrixes may be plural
r293c8|III.1|Loughran||philosophy|0|high|to exist is to be thought: I am therefore I am conceived
r294c4|III.2.S|Loughran||computer science|0|high|space-time energy and matter emerge from computation
r294c5|III.2.S|Loughran||physics|0|high|three QM features: quantized minimum uncertainty and measurement
r294c6|III.2.S|Loughran||physics|0|med|minimum volume follows from the complexity of the dependent observer
r294c7|III.2.S|Loughran|Hawkins|neuroscience|0|med|thousand-brains theory applied at the space-time row of the ladder
r294c8|III.2.S|Loughran||physics|0|med|unit of the thousand-brains analogy here is quantum entanglement
r294c9|III.2.S|Loughran||physics|0|med|uncertainty as fluidity permitting creativity in the calculation
r294c10|III.2.S|Loughran||computer science|0|high|observation dependence expected if outcomes are computed and optimized
r294c12|III.1|Loughran||computer science|0|med|to interact or to change is to be computed
r294c13|III.1.3|Loughran||computer science|0|med|20-questions analogy: answers procedural rather than pre-existing
r294c14|III.2.S|Loughran||computer science|0|low|self-assembly leveraged to compute and emerge complexity
r295c4|III.2.X|Loughran|||0|med|computation experienced across the emergent spectrum of consciousness
r295c5|III.2.N|Loughran||biology;economics|0|med|biology emerges as self-assembling and self-replicating
r295c6|III.1|Loughran|||1|low|placeholder slot for a definition of shared consciousness
r295c7|III.2.N|Loughran|Hawkins|neuroscience|0|med|thousand-brains theory at the neuronal row of the ladder
r295c8|III.2.N|Loughran||neuroscience|0|high|unit of the analogy here is the neuronal stack
r295c9|III.2.N|Loughran||neuroscience|0|high|resolution at the neuronal level happens by voting across stacks
r296c4|III.2.C|Loughran||sociology|0|high|community named as the next rung of the ladder
r296c7|III.2.C|Loughran|Hawkins|neuroscience|0|med|thousand-brains theory at the community row of the ladder
r296c8|III.2.C|Loughran||sociology|0|high|unit of the analogy here is the individual community member
r296c9|III.2.C|Loughran||sociology|0|high|resolution at the communal level is of like-minded member preferences
r297c4|III.2.SO|Loughran||sociology|0|high|society and nation-state named as the next rung
r297c7|III.2.SO|Loughran|Hawkins|neuroscience|0|med|thousand-brains theory at the society row of the ladder
r297c8|III.2.SO|Loughran||sociology|0|high|unit of the analogy here is the whole human community
r297c9|III.2.SO|Loughran||sociology|0|high|resolution at the social level is of differences between communities
r298c4|III.2.SO|Loughran||sociology|0|med|global order named as the top social rung
r298c7|III.2.SO|Loughran|Hawkins|neuroscience|0|med|thousand-brains theory at the global row of the ladder
r298c8|III.2.SO|Loughran||sociology|0|med|unit of the analogy here is the state actor
r298c9|III.2.SO|Loughran||sociology|0|med|resolution at the global level is maintaining international peace
r299c3|III.2.0|Loughran|||0|low|opening fragment announcing a single information-processing paradigm
r300c3|II.4|Loughran|Rauch;Tim Urban|sociology|0|high|source pointer: Rauch essay cited via Wait But Why chapter 6
r300c4|I.2.2|Jonathan Rauch|Rauch|sociology;philosophy|0|med|quoted Rauch: moral learning is real and the open society fosters it
r300c8|II.4|Loughran|Tim Urban|sociology|0|high|source pointer to a Tim Urban quotation on political leadership
r300c9|III.2.SO|Tim Urban|Tim Urban|sociology;neuroscience|0|high|quoted Urban: the citizen body's communal brain is the real leader
r300c13|III.2.SO|Tim Urban|Tim Urban|biology;neuroscience|0|high|quoted Urban: every citizen is a neuron in a giant organism
r301c3|II.4|Loughran|Tononi|neuroscience|0|high|source pointer to Tononi on the five properties of consciousness
r301c4|III.1.1|Loughran|Tononi;Descartes|philosophy|0|med|IIT property zero: consciousness undeniably exists
r301c5|III.1.1|Loughran|Tononi||0|med|IIT property one: experience is immediate and subjective
r301c6|III.1.1|Loughran|Tononi||0|med|IIT property two: composition into interrelated parts
r301c7|III.1.1|Loughran|Tononi||0|med|IIT property three: each experience is individuated not generic
r301c8|III.1.1|Loughran|Tononi||0|med|IIT property four: integration into one unified awareness
r301c9|III.1.1|Loughran|Tononi||0|med|IIT property five: exclusion and the definiteness of experience
r301c11|III.1.1|Loughran|Tononi|physics|0|high|IIT translates phenomenology into a causal physical substructure
r302c3|III.1.1|Loughran|Tononi||0|high|IIT maps the phenomenological properties onto substrate properties
r303c3|III.1.1|Loughran|Tononi||0|high|reads Tononi as treating substrate as basic and consciousness emergent
r303c4|III.2.0|Loughran|||0|med|alternative ordering: consciousness first with information and space-time within it
r303c6|III.1.1|Loughran|||0|med|created consciousness should be measurable as any mathematical expression of being
r303c7|III.1.1|Loughran||neuroscience;sociology|0|med|consciousness measurable but subsisting in a conscious not physical substrate
r303c9|III.1.1|Loughran|||0|med|self-critical question: does this approach just buy two sets of problems
r303c10|III.1.1|Loughran|||0|high|three claimed advantages including coherence with QM and the hard problem
r303c12|III.1.1|Loughran|||0|high|three new problems his own account incurs
r304c3|II.4|Loughran|Schwitzgebel;Tononi||0|high|source pointer to the Splintered Mind blog on theories of consciousness
r305c3|II.4|Loughran|Arthur Brooks||1|high|source pointer to Brooks Love Your Enemies plus items to find
r305c4|III.4|Loughran|Arthur Brooks||0|med|love as the art and science that alone matters
r305c5|II.2|Loughran|Arthur Brooks;James Q Wilson||0|med|Brooks placed as a student of James Q Wilson
r305c6|III.4|Loughran|Arthur Brooks|biology;psychology|0|med|heroin study and oxytocin: look to the love solution first
r305c7|I.1|Loughran|Arthur Brooks;Haidt|sociology;psychology|0|med|diagnosis: an epidemic of loneliness and fear opposed to love
r305c8|I.1|Loughran|Arthur Brooks|sociology;psychology|0|high|diagnosis: the culture of contempt and motive attribution asymmetry
r306c3|X.2|apparatus|||1|med|in-sheet to-do label: outline audience further steps
r307c3|II.4|Loughran|Anil Seth|neuroscience|0|high|source pointer to Seth on consciousness as controlled hallucination
r307c4|III.1.2|Loughran|Anil Seth|neuroscience;psychology|0|med|perception generated inside out as much as outside in
r307c5|III.1.3|Loughran|Anil Seth||0|high|reality as the name for our aligned best guesses
r307c6|III.2.P|Loughran|Anil Seth||0|med|the unified self as a controlled hallucination that can come apart
r307c7|III.2.N|Loughran|Anil Seth|neuroscience;psychology|0|med|interoception aligning bodily state tracking with perception
r307c8|III.2.P|Loughran|Anil Seth||0|med|embodied selfhood as control and regulation not object perception
r308c3|III.2.N|Loughran||neuroscience|0|high|backpropagation is not how the brain corrects error
r308c4|III.2.N|Loughran||neuroscience;psychology|0|high|predictive processing with the amygdala responding to missed predictions
r308c5|III.2.N|John Light||neuroscience;biology|0|high|quoted Light: prediction buys the amygdala half a second on threat
r308c7|III.2.N|John Light||neuroscience;computer science|0|high|quoted Light: the predictive path is nothing like ML backpropagation
r308c8|I.3.3|Loughran|John Light||0|med|provenance caveat: Light is an inventor here and not authoritative
r308c9|II.4|Loughran||neuroscience|0|high|source pointer to a 2014 paper on Hebbian learning and mirror neurons
r309c3|X.2|apparatus|||0|med|label heading the notes on priors and biases
r309c4|III.1.2|Loughran|||0|med|no intelligence works without direction
r309c5|III.1.2|Loughran||computer science|0|med|supervised learning supplies direction via a ground-truth dataset
r309c6|III.1.2|Loughran||computer science|0|med|priors as weightings supplied up front rather than learned
r309c7|III.2.X|Loughran||physics;computer science|0|med|priors across disciplines: initial conditions as the first computational step
r310c3|III.4|Loughran|Tononi||0|med|intelligence may not need consciousness but love may be intrinsically conscious
r310c6|III.1|Loughran||theology|0|med|asks whether original consciousness must be perfectly reflective
r310c7|III.1|Loughran|||0|low|conditional fragment on creative consciousness sharing itself
r310c8|III.1|Loughran|||0|med|to be conscious is to be aware of all relations and so to create
r310c9|III.3|Loughran||computer science;theology|0|med|if consciousness creates what room is left for preference will and good
r310c10|III.3|Loughran||computer science;theology;sociology|0|med|error as incoherence and efficiency as a candidate for the good
r310c12|III.1|Loughran||computer science;sociology|0|med|we are individual modes of common consciousness with partial information
r310c14|III.3|Loughran||biology;computer science|0|high|problem of evil: what is chosen in love is retained the rest forgotten
r311c3|III.2.S|Loughran||physics;philosophy|0|med|laws of nature explained by what the desired end requires
r311c4|III.2.S|Loughran||physics|0|high|the QUD summary of QM: quantized uncertain dependent
r311c5|III.2.S|Loughran||physics|0|med|quantization: minimum qubit size implies a minimum emergent volume
r311c6|III.2.S|Loughran||physics;computer science;sociology|0|med|uncertainty as optimized fluidity plus an anthropic reading of the laws
r311c7|III.2.S|Loughran||physics;computer science|0|med|dependence: to exist is to be considered and we compute the world into being
r311c9|III.1.3|Loughran||physics|1|med|20-questions model: we make reality real as we question
r312c4|III.4|Loughran||theology|0|low|slogan triad: information love and Christ taken seriously
r313c3|II.4|Loughran|Philip Ball|physics|0|high|source pointer to Ball's Quanta essay on quantum reconstruction
r313c4|III.2.I|Philip Ball|Philip Ball;Cabello|physics|0|med|quoted Ball: the state as a list of probabilities a user assigns
r313c5|III.2.I|Chiribella|Chiribella|physics|0|high|quoted Chiribella: quantum theory derived from purely informational principles
r313c7|III.2.S|Loughran||physics|0|med|asks whether noncausal theories connect to indefinite causal order results
r313c8|III.2.I|Philip Ball|Philip Ball;Cabello|physics|0|med|quoted Ball on QBism and Wheeler's law without law
r313c10|III.2.0|Loughran||physics;philosophy;theology;psychology|1|high|names the whole stack from QBism through IIT to a theology of shared consciousness
r314c3|II.4|Loughran|Hawkins|neuroscience|0|high|source pointer to Hawkins on intelligence
r314c4|III.2.N|Loughran|Hawkins|biology;neuroscience|0|high|grid cells reused throughout the neocortex for objects not just place
r314c5|III.1.2|Loughran|Hawkins||0|med|intelligence tied to the quality of the model you build of the world
r314c6|III.2.N|Loughran|Hawkins|biology;neuroscience|0|high|the neocortex grew fast by replication of a single unit
r314c7|III.2.N|Loughran|Hawkins|neuroscience|0|high|thousands of cortical columns each modeling inputs and voting
r314c8|III.2.I|Loughran|Hawkins|computer science|0|med|the Turing test is a poor measure: ask what model the system has
r314c9|III.2.N|Loughran|Hawkins|neuroscience;computer science|0|high|one learning algorithm and grid cells as a general purpose reference frame
r314c10|III.2.N|Loughran|Hawkins|neuroscience;computer science|0|med|CNNs rarely assign reference frames but brains require them
r314c11|III.2.N|Loughran|Hawkins|neuroscience;computer science|0|high|egocentric versus object-centric frames and the dimensions of intelligence
r314c12|III.2.I|Loughran|Hawkins|computer science|0|med|method capacity and learning as the three dimensions of intelligence
r314c13|III.2.N|Loughran|Hawkins|neuroscience|0|med|abstract reference frames and knowledge as information assigned to a frame
r314c14|III.1.2|Loughran|Hawkins|physics;biology|0|med|frames cannot all be correct and the test of a model is prediction
r314c15|I.2.3|Loughran|Hawkins|neuroscience;philosophy|0|med|changing your model is painful: we need a frame for navigating other frames
r314c16|III.2.P|Loughran|Hawkins|neuroscience;psychology|0|med|the model is emotionless and misses noncognitive formation
r315c3|II.4|Loughran|Philip Ball|physics|0|high|source pointer to Ball's 2013 Nature piece on quantum reconstruction
r315c4|III.1.1|Loughran|Philip Ball|physics;philosophy|0|med|if knowledge limits generate quantum phenomena external realism looks false
r315c6|III.2.I|Philip Ball|Spekkens;Philip Ball|physics|0|med|quoted Spekkens knowledge balance principle thought experiment
r316c3|X.2|apparatus||physics;biology;philosophy|0|med|in-sheet note announcing a literal reimport of an earlier cell
r316c4|III.2.0|Loughran||physics;philosophy;theology;psychology|1|high|reimported statement of the full stack to be explored
r316c6|III.2.0|Loughran||biology;philosophy;sociology|1|med|every term needs unpacking into a consistent framework and a table built
r317c3|II.4|Loughran||psychology|0|high|source pointer to Royal Institution talks on behaviour change
r317c4|III.2.P|Loughran|Hawkins|psychology|1|med|map opportunity motivation capacity onto Hawkins's dimensions of intelligence
r317c5|III.2.SO|Loughran||psychology;sociology|1|med|taxes as noncognitive cultural priors via the plastic bag plot
r317c6|III.1.2|Loughran||psychology;computer science|1|med|checkerboard illusion as the same point about predictive computing
r318c3|II.4|Loughran|Tim Urban||0|high|source pointer to Wait But Why chapter 7 on the belief ladder
r318c4|III.2.P|Tim Urban|Tim Urban|psychology|0|high|quoted Urban: the belief bouncer and the quality of assigned trust
r318c5|III.2.C|Loughran|Tim Urban|neuroscience;sociology|0|med|trust can be assigned by someone else's bouncer not your own
r318c6|III.2.C|Loughran||sociology;psychology|0|med|trust conferred by command or noncognitively by association
r318c7|III.2.C|Loughran|||0|med|patterning shaped by others: narrative formation and narrative control
r318c8|III.2.C|Loughran||psychology|1|med|asks what other formation channels exist: trauma language beauty story
r318c9|III.2.P|Loughran|Tim Urban||0|med|Urban's belief ladder as a shortcut for allocating trust
r318c11|I.2.3|Loughran|Tim Urban;MacIntyre|neuroscience;psychology|1|high|how to avoid hardwired confirmation bias in second-first-language immersion
r318c14|I.2.3|Loughran+Tim Urban|Tim Urban;MacIntyre||0|high|Urban thinks bias eliminable: he has missed real incommensurability
r318c16|I.1|Loughran+Tim Urban|Tim Urban|sociology;psychology|0|med|in bias motion anyone who disagrees looks like a bad thinker
r318c21|III.2.C|Tim Urban|Tim Urban|sociology|0|med|quoted Urban: the next move is to how thinking happens in communities
r319c3|II.4|Loughran|Wilkinson;Carroll||0|high|source pointer to Wilkinson on Carroll's Mindscape
r319c4|III.2.SO|Loughran|Schelling|sociology|0|med|Schelling weak preferences explain urban sorting by minorities
r319c5|I.1|Loughran||sociology|0|med|red-blue voting patterns as an artifact of urban sorting
r319c6|III.2.SO|Will Wilkinson|Wilkinson|economics;sociology|0|med|mobility runs from less dense to more dense places
r319c7|III.2.SO|Loughran|Pentland;Wilkinson|sociology;economics|0|high|density drives idea production which drives productivity
r319c8|I.4.3|Loughran||sociology|0|med|PoP gets little idea production from density because of its leadership model
r319c9|III.2.P|Loughran||psychology|0|high|the Big Five OCEAN traits and their political leanings
r319c10|III.2.P|Loughran|Haidt||0|med|moral foundations theory alongside the Big Five and politics
r319c11|I.4.3|Loughran|||1|med|investigate how traits cluster and what roles they fill in a HIFNRC
r320c3|X.2|apparatus|||0|med|in-sheet label heading a new book overview for funders
r320c4|I.2|Loughran|MacIntyre|computer science;sociology|0|high|project goal: relaunch MacIntyre's recovery of Aristotelian political thought
r320c5|III.2.0|Loughran||physics;biology;neuroscience;computer science;theology;sociology|0|high|the paradigm runs from theology through cosmology and neuroscience to AI
r320c6|I.4.3|Loughran||sociology|0|high|transformation comes by invitation into a high information-flow rich community
r321c3|III.1|Loughran|||1|med|announces a dialectical argument for the primacy of original consciousness
r321c4|III.1.1|Loughran|Tononi|physics;chemistry|0|high|IIT stated at full strength with physical causation as primary
r321c5|III.1.1|Loughran|Tononi|physics;computer science;philosophy|0|high|two questions for IIT: brute emergence and conflict with it-from-qubit
r321c7|III.1.1|Loughran|Tononi|physics;neuroscience;theology|1|high|reverse the IIT dependency and give love causal power then face the objection
r322c3|III.3|Loughran||computer science;philosophy|0|med|how would a neural network encode first do no harm
r322c4|II.4|Loughran|Fridman|computer science|1|med|unnamed Fridman guest arguing symbolic systems interwoven with deep learning
r323c3|III.2.S|Loughran|Carroll|physics|1|med|task to pin down Carroll's claim that gravity emerges from quantum phenomena
r323c4|III.1|Loughran|Carroll|physics|1|high|task: consciousness-first makes calculating an outcome differ from discovering it
r323c5|II.4|Sean Carroll|Carroll|physics|0|med|Carroll aside: QM foundations math is only undergraduate level
r324c3|III.1.1|Francis Crick|Crick|neuroscience;chemistry|0|high|quoted Crick: you are nothing but a pack of neurons
r324c4|III.3|Loughran||physics;computer science;philosophy|1|high|resync free will inside a consciousness-first computational metaphysic
r324c5|III.3|Loughran|Hoffman|neuroscience|0|med|the evidence that conscious choice postdates the brain activity
r324c6|III.3|Loughran|||0|med|indeterminacy may apply to the whole choosing agent not an isolated chooser
r324c7|III.3|Loughran||physics;computer science|0|med|asks what the free will argument looks like if the world is computed
r324c8|II.4|Loughran||physics|1|high|source to check: Norton's Dome as a challenge to determinacy
r324c9|III.1|Loughran|Hoffman|biology;philosophy|0|high|Hoffman's conscious realism and the evolutionary case against veridical perception
r324c10|III.1.2|Loughran|Hoffman|physics;neuroscience|0|high|Hoffman's virtual reality interface analogy and neurons without causal powers
r325c3|III.2.X|Loughran||computer science|1|med|need short state-of-discussion summaries for every level of the stack
r325c4|III.2.X|Loughran|||1|low|need a map of the interlinkages between those summaries
r326c3|II.4|Loughran|Epstein|sociology;economics|0|med|source pointer to a Hoover essay on the new socialists
r326c4|III.2.SO|Richard Epstein?|Epstein|economics;sociology|0|med|quoted: the new socialists offer no account of liberty and well-being
r326c5|III.3|Loughran||economics;philosophy|0|med|economic well-being redefined as loving well with money
r327c3|II.4|Loughran|Philip Ball|physics|0|high|source pointer to Ball on 20 questions done backwards
